Vardas Pavarde ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas1 Pavarde1 6 3 4 2 3 5
Vardas2 Pavarde2 1 7 4 4 8 5
Vardas3 Pavarde3 6 3 6 6 8 9
Vardas4 Pavarde4 10 5 3 9 8 4
Vardas5 Pavarde5 7 3 2 9 4 10
Vardas6 Pavarde6 1 3 5 10 2 6
Vardas7 Pavarde7 3 7 10 4 4 1
Vardas8 Pavarde8 10 8 10 8 8 1
Vardas9 Pavarde9 4 9 1 1 5 6
Vardas10 Pavarde10 10 8 6 10 6 1
Vardas11 Pavarde11 3 3 3 4 3 5
Vardas12 Pavarde12 1 7 2 10 4 1
Vardas13 Pavarde13 9 7 1 2 10 10
Vardas14 Pavarde14 5 9 5 2 5 6
Vardas15 Pavarde15 10 10 9 10 10 5
Vardas16 Pavarde16 1 3 2 10 1 2
Vardas17 Pavarde17 8 6 5 5 8 2
Vardas18 Pavarde18 9 5 6 1 2 9
Vardas19 Pavarde19 5 8 9 6 6 8
Vardas20 Pavarde20 6 1 8 8 5 4
Vardas21 Pavarde21 7 2 7 8 10 2
Vardas22 Pavarde22 10 10 6 10 5 4
Vardas23 Pavarde23 6 1 2 3 3 1
Vardas24 Pavarde24 10 9 9 10 5 3
Vardas25 Pavarde25 7 5 8 5 4 10
Vardas26 Pavarde26 4 10 2 2 8 6
Vardas27 Pavarde27 6 2 5 5 2 3
Vardas28 Pavarde28 3 6 3 5 1 5
Vardas29 Pavarde29 7 3 9 8 8 6
Vardas30 Pavarde30 5 8 7 5 1 5
Vardas31 Pavarde31 4 6 6 6 6 6
Vardas32 Pavarde32 3 4 4 6 8 1
Vardas33 Pavarde33 6 6 8 6 8 10
Vardas34 Pavarde34 10 2 5 3 9 2
Vardas35 Pavarde35 2 7 2 6 7 10
Vardas36 Pavarde36 10 2 1 1 1 7
Vardas37 Pavarde37 8 7 1 8 3 7
Vardas38 Pavarde38 2 1 6 8 2 2
Vardas39 Pavarde39 8 10 10 8 6 10
Vardas40 Pavarde40 10 2 7 5 5 9
Vardas41 Pavarde41 5 7 7 4 6 7
