Vardas Pavarde ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas1 Pavarde1 3 6 2 8 1 5
Vardas2 Pavarde2 9 7 4 5 10 10
Vardas3 Pavarde3 6 10 4 6 1 10
Vardas4 Pavarde4 6 3 1 10 1 8
Vardas5 Pavarde5 1 10 5 10 10 2
Vardas6 Pavarde6 2 1 10 6 6 9
Vardas7 Pavarde7 10 8 3 3 1 6
Vardas8 Pavarde8 8 10 5 8 4 8
Vardas9 Pavarde9 9 8 3 9 9 3
Vardas10 Pavarde10 8 3 6 4 8 1
Vardas11 Pavarde11 1 10 7 3 3 10
Vardas12 Pavarde12 10 1 4 5 6 3
Vardas13 Pavarde13 7 4 2 6 2 1
Vardas14 Pavarde14 3 4 7 7 1 3
Vardas15 Pavarde15 9 3 3 8 8 3
Vardas16 Pavarde16 4 6 1 2 3 2
Vardas17 Pavarde17 9 6 7 6 8 4
Vardas18 Pavarde18 4 4 2 10 2 6
Vardas19 Pavarde19 2 3 2 5 1 4
Vardas20 Pavarde20 5 4 9 5 4 1
Vardas21 Pavarde21 8 3 3 2 2 1
Vardas22 Pavarde22 2 6 1 1 7 7
Vardas23 Pavarde23 5 8 7 3 3 8
Vardas24 Pavarde24 1 10 2 7 7 6
Vardas25 Pavarde25 2 9 5 8 7 9
Vardas26 Pavarde26 3 4 2 7 9 5
Vardas27 Pavarde27 2 3 3 2 9 6
Vardas28 Pavarde28 5 1 7 6 10 4
Vardas29 Pavarde29 7 2 1 2 5 5
Vardas30 Pavarde30 9 1 7 8 1 3
Vardas31 Pavarde31 6 5 9 3 8 3
Vardas32 Pavarde32 6 8 10 3 2 1
Vardas33 Pavarde33 6 10 1 6 3 6
Vardas34 Pavarde34 10 7 9 2 1 5
Vardas35 Pavarde35 8 2 10 7 8 9
Vardas36 Pavarde36 9 5 3 10 6 5
Vardas37 Pavarde37 8 3 4 4 10 3
Vardas38 Pavarde38 5 5 1 1 7 5
Vardas39 Pavarde39 5 4 9 1 8 4
Vardas40 Pavarde40 4 4 4 5 5 7
Vardas41 Pavarde41 3 9 1 2 4 8
Vardas42 Pavarde42 8 6 4 7 9 10
Vardas43 Pavarde43 3 6 7 7 8 6
Vardas44 Pavarde44 5 7 6 6 3 5
Vardas45 Pavarde45 10 8 7 9 7 2
Vardas46 Pavarde46 1 4 8 7 2 2
Vardas47 Pavarde47 3 4 1 3 3 2
Vardas48 Pavarde48 1 8 5 9 9 3
Vardas49 Pavarde49 8 7 7 8 10 9
Vardas50 Pavarde50 2 8 7 6 2 7
Vardas51 Pavarde51 2 10 9 2 7 6
Vardas52 Pavarde52 3 6 5 5 5 4
Vardas53 Pavarde53 6 3 4 4 5 6
Vardas54 Pavarde54 10 2 10 4 1 10
Vardas55 Pavarde55 5 3 4 10 6 4
Vardas56 Pavarde56 6 7 3 5 1 4
Vardas57 Pavarde57 3 9 2 10 6 3
Vardas58 Pavarde58 8 3 2 4 3 7
Vardas59 Pavarde59 5 8 3 2 6 10
Vardas60 Pavarde60 7 8 9 10 8 4
Vardas61 Pavarde61 2 4 1 1 10 9
Vardas62 Pavarde62 2 1 2 1 2 6
Vardas63 Pavarde63 4 1 6 8 6 8
Vardas64 Pavarde64 8 2 10 7 5 8
Vardas65 Pavarde65 2 5 2 3 9 3
Vardas66 Pavarde66 6 4 2 8 9 2
Vardas67 Pavarde67 2 8 4 4 2 3
Vardas68 Pavarde68 5 5 6 7 8 6
Vardas69 Pavarde69 4 9 2 1 2 6
Vardas70 Pavarde70 4 5 9 3 10 6
Vardas71 Pavarde71 7 10 3 10 5 9
Vardas72 Pavarde72 5 7 3 4 6 9
Vardas73 Pavarde73 5 5 10 8 2 1
Vardas74 Pavarde74 2 6 7 7 9 10
Vardas75 Pavarde75 1 5 2 7 4 4
Vardas76 Pavarde76 4 9 9 8 8 3
Vardas77 Pavarde77 10 6 10 8 3 1
Vardas78 Pavarde78 3 10 3 4 6 8
Vardas79 Pavarde79 6 7 3 9 1 5
Vardas80 Pavarde80 9 1 1 4 9 1
Vardas81 Pavarde81 7 8 4 10 1 8
Vardas82 Pavarde82 1 7 8 8 8 7
Vardas83 Pavarde83 2 5 3 7 4 9
Vardas84 Pavarde84 7 8 9 5 1 8
Vardas85 Pavarde85 1 5 9 4 10 7
Vardas86 Pavarde86 3 7 8 10 2 5
Vardas87 Pavarde87 8 4 9 6 3 10
Vardas88 Pavarde88 1 8 9 7 8 7
Vardas89 Pavarde89 2 3 7 2 7 1
Vardas90 Pavarde90 2 2 7 7 9 7
Vardas91 Pavarde91 10 7 8 1 6 2
Vardas92 Pavarde92 9 2 4 9 10 10
Vardas93 Pavarde93 10 1 6 10 5 3
Vardas94 Pavarde94 9 4 8 2 3 8
Vardas95 Pavarde95 10 1 10 7 9 10
Vardas96 Pavarde96 8 2 6 3 7 6
Vardas97 Pavarde97 2 10 3 7 8 6
Vardas98 Pavarde98 3 3 3 8 2 7
Vardas99 Pavarde99 6 2 8 5 8 5
Vardas100 Pavarde100 9 8 4 1 1 5
Vardas101 Pavarde101 2 3 4 4 2 9
Vardas102 Pavarde102 5 8 4 10 8 5
Vardas103 Pavarde103 1 2 7 2 9 1
Vardas104 Pavarde104 5 3 9 4 1 7
Vardas105 Pavarde105 3 4 4 1 4 10
Vardas106 Pavarde106 2 2 9 8 6 6
Vardas107 Pavarde107 3 10 2 5 3 5
