Vardas Pavarde ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas1 Pavarde1 5 2 7 6 3 4
Vardas2 Pavarde2 2 2 6 9 10 3
Vardas3 Pavarde3 3 2 9 2 8 7
Vardas4 Pavarde4 2 5 1 3 6 6
Vardas5 Pavarde5 7 4 6 7 9 1
Vardas6 Pavarde6 6 2 10 2 4 3
Vardas7 Pavarde7 6 6 7 8 6 4
Vardas8 Pavarde8 3 3 6 5 3 6
Vardas9 Pavarde9 4 8 5 1 10 2
Vardas10 Pavarde10 8 2 7 2 10 10
Vardas11 Pavarde11 9 6 4 6 4 9
Vardas12 Pavarde12 4 1 9 7 7 2
Vardas13 Pavarde13 10 5 9 7 1 3
Vardas14 Pavarde14 10 2 1 10 3 1
Vardas15 Pavarde15 6 6 2 8 5 2
Vardas16 Pavarde16 6 4 6 7 10 1
Vardas17 Pavarde17 1 8 10 8 2 2
Vardas18 Pavarde18 8 8 2 4 2 6
Vardas19 Pavarde19 4 1 1 5 2 9
Vardas20 Pavarde20 9 9 3 3 10 8
Vardas21 Pavarde21 7 6 7 7 1 3
Vardas22 Pavarde22 6 3 6 9 7 4
Vardas23 Pavarde23 4 3 10 10 3 6
Vardas24 Pavarde24 10 3 4 7 5 4
Vardas25 Pavarde25 2 2 3 8 9 1
Vardas26 Pavarde26 8 9 8 2 1 7
Vardas27 Pavarde27 5 1 7 9 8 9
Vardas28 Pavarde28 1 6 5 8 2 10
Vardas29 Pavarde29 10 10 6 8 4 8
Vardas30 Pavarde30 4 1 2 4 6 10
Vardas31 Pavarde31 1 9 5 5 1 8
Vardas32 Pavarde32 6 2 2 4 5 3
Vardas33 Pavarde33 9 2 5 6 7 10
Vardas34 Pavarde34 9 4 1 3 8 9
Vardas35 Pavarde35 6 1 6 1 8 1
Vardas36 Pavarde36 5 2 6 8 8 10
Vardas37 Pavarde37 4 7 5 7 2 10
Vardas38 Pavarde38 9 7 6 4 10 2
Vardas39 Pavarde39 3 9 5 3 5 2
Vardas40 Pavarde40 10 8 1 7 9 1
Vardas41 Pavarde41 3 6 4 1 9 3
Vardas42 Pavarde42 7 1 4 6 2 10
Vardas43 Pavarde43 5 2 3 1 5 2
Vardas44 Pavarde44 3 3 2 4 8 10
Vardas45 Pavarde45 7 3 7 4 9 1
Vardas46 Pavarde46 9 8 8 5 5 7
Vardas47 Pavarde47 6 8 8 4 7 9
Vardas48 Pavarde48 9 8 8 5 8 4
Vardas49 Pavarde49 10 9 4 10 5 7
Vardas50 Pavarde50 10 10 8 5 5 6
Vardas51 Pavarde51 6 4 3 4 8 4
Vardas52 Pavarde52 3 1 8 7 5 8
Vardas53 Pavarde53 4 10 6 4 5 1
Vardas54 Pavarde54 3 3 5 4 4 1
Vardas55 Pavarde55 7 10 4 2 6 6
Vardas56 Pavarde56 9 2 3 3 8 3
Vardas57 Pavarde57 6 6 10 4 3 8
Vardas58 Pavarde58 7 4 4 7 6 5
Vardas59 Pavarde59 1 7 5 7 3 3
Vardas60 Pavarde60 1 2 10 3 7 9
Vardas61 Pavarde61 1 1 6 2 8 4
Vardas62 Pavarde62 5 2 2 4 8 9
Vardas63 Pavarde63 1 10 10 8 8 10
Vardas64 Pavarde64 7 1 4 9 1 10
Vardas65 Pavarde65 2 2 9 1 2 6
Vardas66 Pavarde66 3 4 10 2 3 2
Vardas67 Pavarde67 3 5 7 10 2 5
Vardas68 Pavarde68 4 8 9 6 6 4
Vardas69 Pavarde69 3 4 5 10 6 6
Vardas70 Pavarde70 5 2 1 6 1 7
Vardas71 Pavarde71 5 5 10 6 1 5
Vardas72 Pavarde72 10 10 7 9 5 3
Vardas73 Pavarde73 4 8 10 9 6 4
Vardas74 Pavarde74 1 6 6 6 8 9
Vardas75 Pavarde75 2 3 8 5 7 1
Vardas76 Pavarde76 2 7 5 1 5 8
Vardas77 Pavarde77 6 8 7 5 6 7
Vardas78 Pavarde78 7 4 9 2 7 9
Vardas79 Pavarde79 7 7 7 7 6 5
Vardas80 Pavarde80 1 10 7 1 5 8
Vardas81 Pavarde81 7 6 3 6 8 9
Vardas82 Pavarde82 9 4 3 2 3 8
Vardas83 Pavarde83 7 6 10 10 9 5
Vardas84 Pavarde84 1 10 7 10 9 1
Vardas85 Pavarde85 4 5 2 10 10 6
Vardas86 Pavarde86 2 6 4 10 9 1
Vardas87 Pavarde87 5 2 6 10 3 3
Vardas88 Pavarde88 7 5 4 10 10 10
Vardas89 Pavarde89 5 2 2 2 10 5
Vardas90 Pavarde90 1 7 8 2 3 4
Vardas91 Pavarde91 8 10 5 7 1 8
Vardas92 Pavarde92 4 8 8 10 5 8
Vardas93 Pavarde93 9 1 7 5 4 4
Vardas94 Pavarde94 7 5 6 2 5 9
Vardas95 Pavarde95 5 10 6 10 10 2
Vardas96 Pavarde96 4 3 10 3 3 4
Vardas97 Pavarde97 9 10 5 7 7 2
Vardas98 Pavarde98 2 6 7 4 4 9
Vardas99 Pavarde99 8 6 4 4 5 9
Vardas100 Pavarde100 8 6 5 6 3 1
